source_set,dataset,folder_name,attack_type,attack_family,mode,mode_inferred,model_norm,poison_rate,train_param_value,test_param_type,test_param_value,target_label,poison_seed,delta,eps,f,upgd_steps,upgd_steps_multiplier,alpha,cover_rate,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
baseline,cifar10,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.01,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.840763064796425,0.5380846141043459,0.297656,0.5599888780759071,2.9164199829101562,False,,
new,cifar10,SIG_0.010_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.01,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.6013039327219266,0.3625757451961247,0.913594,0.9929097733907966,14.015724182128906,True,,
baseline,cifar10,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.01,36.0,test_delta,36.0,,2333,36.0,,6.0,,,,,0.8075967261904762,0.47729117315548997,0.333594,0.7298762685944669,3.280518054962158,True,,
new,cifar10,SIG_0.010_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.01,36.0,test_delta,36.0,0,2333,36.0,,6.0,,,,,0.689451335342773,0.41007317101820673,0.961406,0.991658556930349,3.4022104740142822,False,,
baseline,cifar10,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.01,44.0,test_delta,44.0,,2333,44.0,,6.0,,,,,0.688384872417983,0.4191449993819891,0.627344,0.9153343528430419,1.5034265518188477,False,,
new,cifar10,SIG_0.010_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.01,44.0,test_delta,44.0,0,2333,44.0,,6.0,,,,,0.7030620851963113,0.3687084638569784,0.976406,0.9949951341582094,5.038644313812256,False,,
baseline,cifar10,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.01,56.0,test_delta,56.0,,2333,56.0,,6.0,,,,,0.5401331227436823,0.2991886411589535,0.724531,0.962741554288892,1.2609375715255737,False,,
new,cifar10,SIG_0.010_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.01,56.0,test_delta,56.0,0,2333,56.0,,6.0,,,,,0.528937030075188,0.3594086919039057,0.995313,0.9984707354372306,8.137221336364746,False,,
baseline,cifar10,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.8721363736749117,0.46433807162581275,0.133437,0.07868761295704157,4.880845069885254,True,,
new,cifar10,SIG_0.050_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.6186502016129032,0.3792513069064487,0.533906,0.6809398025858473,2.227688789367676,True,,
baseline,cifar10,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,12.0,test_delta,12.0,,2333,12.0,,6.0,,,,,0.8463186242948246,0.5095635018126541,0.393437,0.5668010565827888,1.3573206663131714,False,,
new,cifar10,SIG_0.050_delta=12_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,all-to-one,False,mobilenet,0.05,12.0,test_delta,12.0,0,2333,12.0,,6.0,,,,,0.48504014981797816,0.2858507389935876,0.982187,0.9929097733907966,1.6366679668426514,False,,
baseline,cifar10,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,SIG,sig,unknown,True,mobilenet,0.05,20.0,test_delta,20.0,,2333,20.0,,6.0,,,,,0.8007112353372434,0.49994498268197796,0.529375,0.7585152231336021,5.324443817138672,True,,
