dataset,attack_family,transfer_delta,stealth_auc_delta,stealth_tpr_delta
cifar10,sig,0.3822494444444444,-0.11693566091962665,-0.15780561256206505
cifar10,upgd,0.19263668055555538,-0.13804041181570195,-0.22049719084663888
mnistm,sig,0.7538507301587302,-0.20753393070149878,-0.26309804634410183
mnistm,upgd,0.6023345277777776,-0.2131950767372504,-0.26983241794196167
tiny_imagenet,sig,0.20573102380952374,-0.12440001726352323,-0.10049158021870297
tiny_imagenet,upgd,0.25397829166666697,-0.13776207283639585,-0.14120233704252294
