dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,resnet18,87,1,basic,basic,0.005,0.7,test_alpha,0.7,0.04955133897539277,0.027803464257970312,1.0,1.0,,6.683238983154297,true,0.09446988401495968,0.11186818378889765
cifar10,resnet18,88,1,basic,basic,0.005,0.8,test_alpha,0.8,0.15042912985251145,0.04742262699833355,0.998281,0.9991658556930348,,3.8312509059906006,true,0.06543906747230324,0.14784426975564555
cifar10,resnet18,89,1,basic,basic,0.005,0.9,test_alpha,0.9,0.06515659760845394,0.022024438681225278,0.999531,0.9998609759488392,,2.55169939994812,true,0.025054020442834737,0.05955974758461766
cifar10,resnet18,90,1,basic,basic,0.005,1.0,test_alpha,1.0,0.12144101084538383,0.030096633186045274,0.999844,0.9998609759488392,,4.07330322265625,true,0.05537424461443501,0.12844974674190587
cifar10,resnet18,91,1,basic,basic,0.01,0.2,test_alpha,0.2,0.42960718715545765,0.27970211726023997,0.301406,0.6304740720144585,,2.664663791656494,true,0.2329677211887139,0.35289177710488806
cifar10,resnet18,92,1,basic,basic,0.01,0.3,test_alpha,0.3,0.23846016221374045,0.11066532126516537,0.771563,0.9470318365077158,,4.823713302612305,true,0.13159746003516254,0.2338333327940226
cifar10,resnet18,93,1,basic,basic,0.01,0.4,test_alpha,0.4,0.2506925360661506,0.09490898036345063,0.879062,0.9877658834978451,,1.8811174631118774,false,0.07592718429076051,0.2005540288529205
cifar10,resnet18,94,1,basic,basic,0.01,0.5,test_alpha,0.5,0.1416605153203343,0.0563024157217169,0.982187,0.998192687334909,,4.478927135467529,true,0.08270004542798154,0.15098652510687546
cifar10,resnet18,95,1,basic,basic,0.01,0.6,test_alpha,0.6,0.21873886569241474,0.07834656947908747,0.997188,0.9988878075907132,,8.323895454406738,true,0.16063387339646626,0.27294771036712806
cifar10,resnet18,96,1,basic,basic,0.01,0.7,test_alpha,0.7,0.202047642872059,0.06656083144430325,0.997031,0.9986097594883915,,14.83074951171875,true,0.25324866515544264,0.36163811429764725
cifar10,resnet18,97,1,basic,basic,0.01,0.8,test_alpha,0.8,0.15462879274989572,0.0425729066755558,0.99875,1.0,,14.349135398864746,true,0.22650543840742782,0.3161501472668997
cifar10,resnet18,98,1,basic,basic,0.01,0.9,test_alpha,0.9,0.2383563234471181,0.08926466483486784,0.986719,0.9937439176977617,,5.413886547088623,true,0.12373229445671156,0.24300562134651177
cifar10,resnet18,99,1,basic,basic,0.01,1.0,test_alpha,1.0,0.22139621017114242,0.08032981194514277,0.999219,0.9991658556930348,,7.153319358825684,true,0.14386297189638164,0.25671609047718136
cifar10,resnet18,100,1,basic,basic,0.05,0.2,test_alpha,0.2,0.34133802935876256,0.1442316543217046,0.49125,0.9257611566801056,,2.964104652404785,true,0.12928731572760774,0.28697241575725413
cifar10,resnet18,101,1,basic,basic,0.05,0.3,test_alpha,0.3,0.2842469008264463,0.11193968223433926,0.745625,0.9756707910468511,,3.205690622329712,true,0.10724239679247166,0.24508817166615732
