dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,mobilenet,30,1,WaNet,WaNet,0.01,0.4,,test_s,0.4,0.8829632227891157,0.5424580747456835,0.037656,0.04087307104129014,0.02,2.553351402282715,false,0.43396645979654686,0.7063705782312926
cifar10,mobilenet,31,1,WaNet,WaNet,0.01,0.6,,test_s,0.6,0.7086394881238725,0.4237039958920882,0.035312,0.46239399416098986,0.02,2.3835039138793945,false,0.3389631967136706,0.566911590499098
cifar10,mobilenet,32,1,WaNet,WaNet,0.01,0.8,,test_s,0.8,0.6467153141361257,0.39885251175495906,0.039531,0.6638398442930628,0.02,2.2300825119018555,true,0.5156857799136516,0.7139760218185849
cifar10,mobilenet,33,1,WaNet,WaNet,0.01,1.0,,test_s,1.0,0.6925395935708436,0.4050896045682715,0.041406,0.6789934658695954,0.02,3.1550679206848145,false,0.3240716836546172,0.5540316748566749
cifar10,mobilenet,34,1,WaNet,WaNet,0.01,1.2,,test_s,1.2,0.6552426215277778,0.41868247120365265,0.051406,0.6406228277492007,0.02,1.7420381307601929,false,0.33494597696292217,0.5241940972222222
cifar10,mobilenet,35,1,WaNet,WaNet,0.01,1.4,,test_s,1.4,0.6617383700895934,0.4197600128242418,0.057188,0.6051716947031837,0.02,2.1046903133392334,false,0.33580801025939344,0.5293906960716747
cifar10,mobilenet,36,1,WaNet,WaNet,0.01,2.0,,test_s,2.0,0.6020079607202063,0.3794714828288387,0.104688,0.7547615737522592,0.02,6.68588924407959,true,0.4304770590942588,0.608506241407353
cifar10,mobilenet,37,1,WaNet,WaNet,0.01,4.0,,test_s,4.0,0.6902525202341379,0.3703377680799188,0.561875,0.9619074099819269,0.02,3.8144783973693848,true,0.4680886710403816,0.7240204727637569
cifar10,mobilenet,38,1,WaNet,WaNet,0.05,0.4,,test_s,0.4,0.694600611951044,0.43411078709150597,0.03875,0.5793132211872654,0.1,4.71460485458374,false,0.3472886296732048,0.5556804895608352
cifar10,mobilenet,39,1,WaNet,WaNet,0.05,0.6,,test_s,0.6,0.5718672637963107,0.35326964461763455,0.0475,0.8968441540386487,0.1,6.131075859069824,false,0.28261571569410765,0.45749381103704856
cifar10,mobilenet,40,1,WaNet,WaNet,0.05,0.8,,test_s,0.8,0.5466032953696789,0.3403698105780244,0.05,0.9307660225218963,0.1,4.532561779022217,false,0.27229584846241955,0.43728263629574315
cifar10,mobilenet,41,1,WaNet,WaNet,0.05,1.0,,test_s,1.0,0.5499686288579096,0.35453309620551354,0.08,0.9324343111358265,0.1,2.3308708667755127,true,0.4786535764922585,0.6350020026141754
cifar10,mobilenet,42,1,WaNet,WaNet,0.05,1.2,,test_s,1.2,0.5118640979689366,0.29872984281872894,0.121563,0.9309050465730572,0.1,2.01297926902771,true,0.4389838742549832,0.6094912783751494
cifar10,mobilenet,43,1,WaNet,WaNet,0.05,1.4,,test_s,1.4,0.5390910081185759,0.3139497898091135,0.115156,0.9332684554427916,0.1,2.407655954360962,true,0.4449857527311817,0.6250987273787516
cifar10,mobilenet,44,1,WaNet,WaNet,0.05,2.0,,test_s,2.0,0.5814563092417062,0.33429896967347983,0.181094,0.9386903934380648,0.1,2.1715073585510254,false,0.2674391757387839,0.465165047393365
cifar10,mobilenet,45,1,WaNet,WaNet,0.05,4.0,,test_s,4.0,0.5042102931926196,0.28582459372699964,0.760781,0.9945780620047269,0.1,1.345932126045227,false,0.22865967498159973,0.40336823455409565
cifar10,mobilenet,46,1,adaptive_blend,adaptive_blend,0.005,0.01,0.01,test_alpha,0.01,0.8767017045454546,0.4771180366156642,0.049375,0.012234116502154873,0.005,2.636326789855957,false,0.3816944292925314,0.7013613636363637
cifar10,mobilenet,47,1,adaptive_blend,adaptive_blend,0.005,0.05,0.05,test_alpha,0.05,0.8640505952380952,0.505468739200434,0.041719,0.01167802029751147,0.005,2.601802349090576,false,0.4043749913603472,0.6912404761904762
cifar10,mobilenet,48,1,adaptive_blend,adaptive_blend,0.005,0.1,0.1,test_alpha,0.1,0.8651176975945017,0.5184174255051124,0.067969,0.040316974836646736,0.005,3.7120754718780518,false,0.41473394040408995,0.6920941580756015
cifar10,mobilenet,49,1,adaptive_blend,adaptive_blend,0.005,0.15,0.15,test_alpha,0.15,0.6735045647785661,0.43104525103916647,0.333594,0.5681912970943973,0.005,2.701963424682617,false,0.3448362008313332,0.538803651822853
cifar10,mobilenet,50,1,adaptive_blend,adaptive_blend,0.005,0.2,0.2,test_alpha,0.2,0.5889214253808539,0.3152240206447643,0.5675,0.7391908800222439,0.005,4.100279808044434,false,0.25217921651581143,0.4711371403046831
cifar10,mobilenet,51,1,adaptive_blend,adaptive_blend,0.005,0.25,0.25,test_alpha,0.25,0.5013774509803922,0.3061659859976682,0.800781,0.886278326150424,0.005,1.8353747129440308,false,0.24493278879813457,0.4011019607843138
cifar10,mobilenet,52,1,adaptive_blend,adaptive_blend,0.005,0.3,0.3,test_alpha,0.3,0.5656974068663257,0.29023769785837894,0.826406,0.9514806061448631,0.005,5.4607625007629395,true,0.3782551597449123,0.5986229269512697
cifar10,mobilenet,53,1,adaptive_blend,adaptive_blend,0.01,0.01,0.01,test_alpha,0.01,0.8887359913793104,0.4877520565659902,0.042656,0.012095092450994022,0.01,4.003475189208984,true,0.5590635523575536,0.8798507002082097
cifar10,mobilenet,54,1,adaptive_blend,adaptive_blend,0.01,0.05,0.05,test_alpha,0.05,0.8833304073033708,0.5217186648282792,0.0425,0.012373140553315724,0.01,4.264675140380859,true,0.5821507877168597,0.8714401816969329
cifar10,mobilenet,55,1,adaptive_blend,adaptive_blend,0.01,0.1,0.1,test_alpha,0.1,0.8258674409504838,0.5247410389131746,0.129375,0.24482135409425831,0.01,4.272212982177734,false,0.41979283113053967,0.6606939527603871
cifar10,mobilenet,56,1,adaptive_blend,adaptive_blend,0.01,0.15,0.15,test_alpha,0.15,0.6001456033123028,0.4220467226986414,0.508437,0.7052690115389962,0.01,1.5555974245071411,false,0.33763737815891315,0.4801164826498423
cifar10,mobilenet,57,1,adaptive_blend,adaptive_blend,0.01,0.2,0.2,test_alpha,0.2,0.5905016308518803,0.4025678985367088,0.640938,0.7241762824968719,0.01,2.9344329833984375,false,0.3220543188293671,0.4724013046815043
cifar10,mobilenet,58,1,adaptive_blend,adaptive_blend,0.01,0.25,0.25,test_alpha,0.25,0.5148414135002626,0.3722648501694976,0.773125,0.7939663561796191,0.01,2.420320749282837,false,0.2978118801355981,0.4118731308002101
cifar10,mobilenet,59,1,adaptive_blend,adaptive_blend,0.01,0.3,0.3,test_alpha,0.3,0.46332866698175246,0.42340831732445006,0.864062,0.8456833032114556,0.01,3.3889997005462646,false,0.3387266538595601,0.370662933585402
cifar10,mobilenet,60,1,adaptive_blend,adaptive_blend,0.05,0.01,0.01,test_alpha,0.01,0.8755840600775193,0.49527228690686287,0.038125,0.01807312665091061,0.05,1.5309431552886963,false,0.39621782952549034,0.7004672480620155
cifar10,mobilenet,61,1,adaptive_blend,adaptive_blend,0.05,0.05,0.05,test_alpha,0.05,0.8431689814814814,0.5232523904651489,0.095937,0.09370221048241346,0.05,1.6181257963180542,false,0.4186019123721192,0.6745351851851852
cifar10,mobilenet,62,1,adaptive_blend,adaptive_blend,0.05,0.1,0.1,test_alpha,0.1,0.7118410268487989,0.42984758886203034,0.567813,0.58987904907549,0.05,4.249013423919678,true,0.5088989291953713,0.7344936795847861
cifar10,mobilenet,63,1,adaptive_blend,adaptive_blend,0.05,0.15,0.15,test_alpha,0.15,0.70195121727601,0.44423646984735954,0.63125,0.61601557069373,0.05,2.4055798053741455,true,0.5492475747585231,0.7554193727014434
cifar10,mobilenet,64,1,adaptive_blend,adaptive_blend,0.05,0.2,0.2,test_alpha,0.2,0.6104987674609696,0.41443679356840635,0.767188,0.6767690810510218,0.05,3.627537488937378,false,0.3315494348547251,0.4883990139687757
cifar10,mobilenet,65,1,adaptive_blend,adaptive_blend,0.05,0.25,0.25,test_alpha,0.25,0.3490461688876014,0.43032405433503096,0.818281,0.7200055609620465,0.05,1.9166109561920166,false,0.3442592434680248,0.27923693511008113
cifar10,mobilenet,66,1,adaptive_blend,adaptive_blend,0.05,0.3,0.3,test_alpha,0.3,0.5551716201522291,0.3881639207546925,0.840156,0.7671347143055749,0.05,3.238952159881592,false,0.31053113660375403,0.4441372961217833
cifar10,mobilenet,67,1,adaptive_patch,adaptive_patch,0.005,0.0,0.0,test_alpha,0.0,0.05093429810232175,0.042773838076527015,1.0,1.0,0.01,4.350714683532715,true,0.1976489766653414,0.2041773446859772
cifar10,mobilenet,68,1,adaptive_patch,adaptive_patch,0.005,0.1,0.1,test_alpha,0.1,0.030649542089531523,0.03596888248467556,1.0,1.0,0.01,4.957543849945068,true,0.18271215025544021,0.178456677939325
cifar10,mobilenet,69,1,adaptive_patch,adaptive_patch,0.005,0.2,0.2,test_alpha,0.2,0.0366579885257301,0.04819254194568012,0.999687,0.9995829278465175,0.01,5.148796081542969,true,0.1894992456413501,0.18027160290539007
cifar10,mobilenet,70,1,adaptive_patch,adaptive_patch,0.005,0.3,0.3,test_alpha,0.3,0.22332459451901565,0.1248961761395172,0.999062,0.9943000139024051,0.01,6.675464630126953,true,0.2269798899864468,0.3057226246900456
cifar10,mobilenet,71,1,adaptive_patch,adaptive_patch,0.005,0.4,0.4,test_alpha,0.4,0.41548479576827324,0.3122599540682638,0.659062,0.6137911858751564,0.01,7.238283157348633,true,0.3680665257411038,0.4506463991011114
cifar10,mobilenet,72,1,adaptive_patch,adaptive_patch,0.01,0.0,0.0,test_alpha,0.0,0.31976560606716287,0.34274631917289566,0.876875,0.8032809676073961,0.02,4.255117416381836,true,0.43912242634339105,0.42073785585880474
cifar10,mobilenet,73,1,adaptive_patch,adaptive_patch,0.01,0.1,0.1,test_alpha,0.1,0.8245050601750548,0.5081524015183073,0.273281,0.254414013624357,0.02,2.3325905799865723,true,0.6015221186076153,0.8546042455330132
cifar10,mobilenet,74,1,adaptive_patch,adaptive_patch,0.01,0.2,0.2,test_alpha,0.2,0.4893857984293194,0.4640177079706057,0.321562,0.42527457250104267,0.02,1.4939546585083008,false,0.3712141663764846,0.39150863874345554
cifar10,mobilenet,75,1,adaptive_patch,adaptive_patch,0.01,0.3,0.3,test_alpha,0.3,0.6103846899224806,0.5185465406165644,0.18375,0.08967051299874879,0.02,8.06387996673584,true,0.52018066670238,0.593651186147113
cifar10,mobilenet,76,1,adaptive_patch,adaptive_patch,0.01,0.4,0.4,test_alpha,0.4,0.624226775682183,0.49614376975793606,0.400156,0.17322396774642013,0.02,8.382513046264648,true,0.4972739502587732,0.5997403549981708
cifar10,mobilenet,77,1,adaptive_patch,adaptive_patch,0.05,0.0,0.0,test_alpha,0.0,0.8409231927710843,0.5710997457504055,0.602969,0.2306409008758515,0.1,2.301461696624756,true,0.6523669550827479,0.8682257126992909
cifar10,mobilenet,78,1,adaptive_patch,adaptive_patch,0.05,0.1,0.1,test_alpha,0.1,0.6290350877192983,0.4627436789183147,0.467344,0.12678993465869595,0.1,14.79793643951416,true,0.3701949431346518,0.5032280701754387
cifar10,mobilenet,79,1,adaptive_patch,adaptive_patch,0.05,0.2,0.2,test_alpha,0.2,0.5771949605126877,0.4733482167072418,0.445625,0.2680383706381204,0.1,2.448117971420288,true,0.571871531361819,0.6549489264061757
cifar10,mobilenet,80,1,adaptive_patch,adaptive_patch,0.05,0.3,0.3,test_alpha,0.3,0.6034745800571837,0.46259523324176777,0.449688,0.19435562352286945,0.1,2.3699800968170166,true,0.5644914854007747,0.6771949628531074
cifar10,mobilenet,81,1,adaptive_patch,adaptive_patch,0.05,0.4,0.4,test_alpha,0.4,0.8073508240956826,0.6169050963152871,0.499375,0.23842624774085916,0.1,3.067317247390747,false,0.4935240770522297,0.6458806592765461
cifar10,mobilenet,82,1,basic,basic,0.005,0.2,0.2,test_alpha,0.2,0.6364279891304347,0.37950756476150826,0.0525,0.012790212706798277,,3.6111879348754883,false,0.30360605180920663,0.5091423913043478
cifar10,mobilenet,83,1,basic,basic,0.005,0.3,0.3,test_alpha,0.3,0.6333020833333334,0.373438238805616,0.058438,0.01334630891144168,,2.834620237350464,true,0.48589734550966257,0.6937884211318366
cifar10,mobilenet,84,1,basic,basic,0.005,0.4,0.4,test_alpha,0.4,0.4834032096371286,0.30787704429164964,0.737187,0.5287084665647157,,3.7249417304992676,true,0.4195207485106236,0.5599416807870067
