dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
tiny_imagenet,resnet18,32,1,WaNet,WaNet,0.05,0.6,,test_s,0.6,0.5832703607435413,0.20877519642206277,1.0,0.9966088922381311,0.1,,,0.16702015713765023,0.46661628859483306
tiny_imagenet,resnet18,33,1,WaNet,WaNet,0.05,0.8,,test_s,0.8,0.6090588992255384,0.19226417945722063,1.0,0.9973624717407686,0.1,,,0.15381134356577653,0.4872471193804307
tiny_imagenet,resnet18,34,1,WaNet,WaNet,0.05,1.0,,test_s,1.0,0.6535702722040508,0.27184297441873406,0.999497,0.998367244410952,0.1,,,0.21747437953498727,0.5228562177632406
tiny_imagenet,resnet18,35,1,WaNet,WaNet,0.05,1.2,,test_s,1.2,0.6437873301031966,0.2510581898150761,0.999497,0.9979904546596332,0.1,,,0.2008465518520609,0.5150298640825572
tiny_imagenet,resnet18,36,1,WaNet,WaNet,0.05,1.4,,test_s,1.4,0.48954250503018115,0.15467306648877643,1.0,0.9987440341622708,0.1,,,0.12373845319102116,0.39163400402414494
tiny_imagenet,resnet18,37,1,WaNet,WaNet,0.05,2.0,,test_s,2.0,0.5465532087158848,0.1588014738190353,1.0,0.9986184375784979,0.1,,,0.12704117905522824,0.4372425669727078
tiny_imagenet,resnet18,38,1,WaNet,WaNet,0.05,4.0,,test_s,4.0,0.5072951869261728,0.16378232883237187,0.999497,0.9986184375784979,0.1,,,0.1310258630658975,0.4058361495409383
tiny_imagenet,resnet18,39,1,adaptive_blend,adaptive_blend,0.005,0.05,0.05,test_alpha,0.05,0.9759752673796791,0.5308787727651605,0.170854,0.11743280582768148,0.005,,,0.4247030182121284,0.7807802139037433
tiny_imagenet,resnet18,40,1,adaptive_blend,adaptive_blend,0.005,0.1,0.1,test_alpha,0.1,0.8441616284739152,0.46499106579283545,0.59799,0.5153227832202965,0.005,,,0.3719928526342684,0.6753293027791322
tiny_imagenet,resnet18,41,1,adaptive_blend,adaptive_blend,0.005,0.15,0.15,test_alpha,0.15,0.9295118407992404,0.41322085469443914,0.791457,0.7275810097965335,0.005,,,0.3305766837555513,0.7436094726393924
tiny_imagenet,resnet18,42,1,adaptive_blend,adaptive_blend,0.005,0.2,0.2,test_alpha,0.2,0.7585183496768033,0.40090066217702747,0.890955,0.8549359457422758,0.005,,,0.320720529741622,0.6068146797414427
tiny_imagenet,resnet18,43,1,adaptive_blend,adaptive_blend,0.005,0.25,0.25,test_alpha,0.25,0.7007002361503294,0.32251510374125847,0.944221,0.9340617935192163,0.005,,,0.25801208299300676,0.5605601889202635
tiny_imagenet,resnet18,44,1,adaptive_blend,adaptive_blend,0.005,0.3,0.3,test_alpha,0.3,0.6957092236004676,0.32361992885466184,0.964824,0.9669680984677217,0.005,,,0.2588959430837295,0.5565673788803741
tiny_imagenet,resnet18,45,1,adaptive_blend,adaptive_blend,0.01,0.01,0.01,test_alpha,0.01,0.9599801136363636,0.5175564645776869,0.025628,0.008289374529012811,0.01,,,0.41404517166214955,0.7679840909090909
tiny_imagenet,resnet18,46,1,adaptive_blend,adaptive_blend,0.01,0.05,0.05,test_alpha,0.05,0.9577276785714286,0.48327481123860794,0.367337,0.2813363476513439,0.01,,,0.38661984899088636,0.7661821428571429
tiny_imagenet,resnet18,47,1,adaptive_blend,adaptive_blend,0.01,0.1,0.1,test_alpha,0.1,0.9440219941348974,0.4075384631540193,0.750754,0.6424265259984928,0.01,,,0.3260307705232155,0.755217595307918
tiny_imagenet,resnet18,48,1,adaptive_blend,adaptive_blend,0.01,0.15,0.15,test_alpha,0.15,0.8263112998522895,0.3926045859368782,0.912563,0.8501632755589048,0.01,,,0.31408366874950255,0.6610490398818316
tiny_imagenet,resnet18,49,1,adaptive_blend,adaptive_blend,0.01,0.2,0.2,test_alpha,0.2,0.7758011750681199,0.3641027108633028,0.953266,0.9218789248932429,0.01,,,0.2912821686906423,0.6206409400544959
tiny_imagenet,resnet18,50,1,adaptive_blend,adaptive_blend,0.01,0.25,0.25,test_alpha,0.25,0.8328689896036388,0.3755182793206905,0.98191,0.96646571213263,0.01,,,0.3004146234565524,0.6662951916829111
tiny_imagenet,resnet18,51,1,adaptive_blend,adaptive_blend,0.01,0.3,0.3,test_alpha,0.3,0.6410221774193547,0.2591873038657211,0.99196,0.9811605124340618,0.01,,,0.20734984309257687,0.5128177419354838
tiny_imagenet,resnet18,52,1,adaptive_blend,adaptive_blend,0.05,0.01,0.01,test_alpha,0.01,0.9320257888349515,0.47499318146621583,0.094472,0.051745792514443605,0.05,,,0.3799945451729727,0.7456206310679612
tiny_imagenet,resnet18,53,1,adaptive_blend,adaptive_blend,0.05,0.05,0.05,test_alpha,0.05,0.7582503038519073,0.31882833444405034,0.71809,0.6719417231851293,0.05,,,0.25506266755524026,0.6066002430815258
tiny_imagenet,resnet18,54,1,adaptive_blend,adaptive_blend,0.05,0.1,0.1,test_alpha,0.1,0.6368163943768997,0.21492617224961175,0.917085,0.8265511178095956,0.05,,,0.17194093779968941,0.5094531155015198
tiny_imagenet,resnet18,55,1,adaptive_blend,adaptive_blend,0.05,0.15,0.15,test_alpha,0.15,0.7143555095818815,0.255699568714699,0.950754,0.9011554885707109,0.05,,,0.2045596549717592,0.5714844076655052
tiny_imagenet,resnet18,56,1,adaptive_blend,adaptive_blend,0.05,0.2,0.2,test_alpha,0.2,0.6191086992570973,0.20401027080787615,0.976382,0.9467470484802814,0.05,,,0.16320821664630092,0.4952869594056779
tiny_imagenet,resnet18,57,1,adaptive_blend,adaptive_blend,0.05,0.25,0.25,test_alpha,0.25,0.5074227718302593,0.17643071556765177,0.984925,0.9737503139914594,0.05,,,0.14114457245412143,0.40593821746420744
tiny_imagenet,resnet18,58,1,adaptive_blend,adaptive_blend,0.05,0.3,0.3,test_alpha,0.3,0.6322035300408633,0.18887957847713854,0.99196,0.9836724441095203,0.05,,,0.15110366278171083,0.5057628240326907
tiny_imagenet,resnet18,59,1,adaptive_patch,adaptive_patch,0.005,0.0,0.0,test_alpha,0.0,0.3309176363863864,0.20945227174220837,0.673367,0.5018839487565938,0.01,,,0.16756181739376672,0.2647341091091091
tiny_imagenet,resnet18,60,1,adaptive_patch,adaptive_patch,0.005,0.1,0.1,test_alpha,0.1,0.3991085916570991,0.1509205803871454,0.842714,0.6562421502135142,0.01,,,0.12073646430971632,0.3192868733256793
tiny_imagenet,resnet18,61,1,adaptive_patch,adaptive_patch,0.005,0.2,0.2,test_alpha,0.2,0.4098907130521724,0.13808940282726112,0.842714,0.6909068073348404,0.01,,,0.1104715222618089,0.32791257044173794
tiny_imagenet,resnet18,62,1,adaptive_patch,adaptive_patch,0.005,0.3,0.3,test_alpha,0.3,0.3222030669144982,0.07947278066625485,0.949246,0.8446370258728962,0.01,,,0.06357822453300388,0.25776245353159855
tiny_imagenet,resnet18,63,1,adaptive_patch,adaptive_patch,0.005,0.4,0.4,test_alpha,0.4,0.3786481581947918,0.08038807256014757,0.965829,0.8536799799045466,0.01,,,0.06431045804811807,0.30291852655583346
tiny_imagenet,resnet18,64,1,adaptive_patch,adaptive_patch,0.01,0.0,0.0,test_alpha,0.0,0.3697432322914651,0.13955955966974576,0.833166,0.6489575483546848,0.02,,,0.1116476477357966,0.2957945858331721
tiny_imagenet,resnet18,65,1,adaptive_patch,adaptive_patch,0.01,0.1,0.1,test_alpha,0.1,0.3354042113494191,0.10001174820360903,0.875879,0.7027128862094951,0.02,,,0.08000939856288723,0.2683233690795353
tiny_imagenet,resnet18,66,1,adaptive_patch,adaptive_patch,0.01,0.2,0.2,test_alpha,0.2,0.4545443654555029,0.19749878135422483,0.689447,0.4770158251695554,0.02,,,0.15799902508337987,0.36363549236440235
tiny_imagenet,resnet18,67,1,adaptive_patch,adaptive_patch,0.01,0.3,0.3,test_alpha,0.3,0.14398941681468314,0.1053132186397503,0.957286,0.8485305199698568,0.02,,,0.08425057491180024,0.11519153345174651
tiny_imagenet,resnet18,68,1,adaptive_patch,adaptive_patch,0.01,0.4,0.4,test_alpha,0.4,0.45292709333493353,0.10578865191503983,0.925126,0.7848530519969856,0.02,,,0.08463092153203187,0.36234167466794687
tiny_imagenet,resnet18,69,1,adaptive_patch,adaptive_patch,0.05,0.0,0.0,test_alpha,0.0,0.30384276870626237,0.12584081150747473,0.832663,0.6999497613664908,0.1,,,0.10067264920597979,0.24307421496500992
tiny_imagenet,resnet18,70,1,adaptive_patch,adaptive_patch,0.05,0.1,0.1,test_alpha,0.1,0.34248519236256425,0.13009593673584174,0.794975,0.6602612408942476,0.1,,,0.1040767493886734,0.27398815389005143
