dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
mnistm,mobilenet,78,1,adaptive_patch,adaptive_patch,0.05,0.1,0.1,test_alpha,0.1,0.8192688018160283,0.6546751092358827,0.344779,0.3535734226689001,0.1
mnistm,mobilenet,79,1,adaptive_patch,adaptive_patch,0.05,0.2,0.2,test_alpha,0.2,0.6333763318863457,0.49816287858251607,0.299274,0.353713009491904,0.1
mnistm,mobilenet,80,1,adaptive_patch,adaptive_patch,0.05,0.3,0.3,test_alpha,0.3,0.692895558342133,0.5243919733527913,0.227387,0.26451702959240647,0.1
mnistm,mobilenet,81,1,adaptive_patch,adaptive_patch,0.05,0.4,0.4,test_alpha,0.4,0.7720051369863014,0.5664924434104031,0.29383,0.3260748185371301,0.1
mnistm,mobilenet,82,1,basic,basic,0.005,0.2,0.2,test_alpha,0.2,0.6823382352941176,0.4133499556725997,0.002652,0.002372975991066443,
mnistm,mobilenet,83,1,basic,basic,0.005,0.3,0.3,test_alpha,0.3,0.6966858552631578,0.42595913794115137,0.001954,0.00265214963707426,
mnistm,mobilenet,84,1,basic,basic,0.005,0.4,0.4,test_alpha,0.4,0.540596828817734,0.3742974023720219,0.898241,0.5668620882188722,
mnistm,mobilenet,85,1,basic,basic,0.005,0.5,0.5,test_alpha,0.5,0.6511411290322581,0.4578637651092321,0.161223,0.17322724734785036,
mnistm,mobilenet,86,1,basic,basic,0.005,0.6,0.6,test_alpha,0.6,0.36187597956051065,0.24242843004078307,0.991206,0.8636236739251815,
mnistm,mobilenet,87,1,basic,basic,0.005,0.7,0.7,test_alpha,0.7,0.8521847653142403,0.7013016640606435,0.24665,0.175321049692909,
mnistm,mobilenet,88,1,basic,basic,0.005,0.8,0.8,test_alpha,0.8,0.4122132914847161,0.2659166393674407,0.995673,0.8309603573422669,
mnistm,mobilenet,89,1,basic,basic,0.005,0.9,0.9,test_alpha,0.9,0.3253978825136612,0.20923558218504945,0.996371,0.9195979899497487,
mnistm,mobilenet,90,1,basic,basic,0.005,1.0,1.0,test_alpha,1.0,0.3634705798261665,0.2310263254473488,0.998465,0.9151312116136237,
mnistm,mobilenet,91,1,basic,basic,0.01,0.2,0.2,test_alpha,0.2,0.7109062500000001,0.4177857898795636,0.00349,0.0015354550530429928,
mnistm,mobilenet,92,1,basic,basic,0.01,0.3,0.3,test_alpha,0.3,0.6994801136363636,0.4464437576363749,0.00335,0.0030709101060859855,
mnistm,mobilenet,93,1,basic,basic,0.01,0.4,0.4,test_alpha,0.4,0.5161191695459032,0.329606674844677,0.962032,0.7068676716917923,
mnistm,mobilenet,94,1,basic,basic,0.01,0.5,0.5,test_alpha,0.5,0.2850749465972118,0.19808630219098522,0.995673,0.9311836962590732,
mnistm,mobilenet,95,1,basic,basic,0.01,0.6,0.6,test_alpha,0.6,0.3282354773702115,0.21553794609406374,0.999023,0.9437465103294249,
mnistm,mobilenet,96,1,basic,basic,0.01,0.7,0.7,test_alpha,0.7,0.281570690157251,0.18360469798474843,1.0,0.9586823003908431,
mnistm,mobilenet,97,1,basic,basic,0.01,0.8,0.8,test_alpha,0.8,0.2954325558629114,0.20288841618861575,1.0,0.9715242881072027,
mnistm,mobilenet,98,1,basic,basic,0.01,0.9,0.9,test_alpha,0.9,0.30682934630056136,0.19751359919684175,1.0,0.9697096594081519,
mnistm,mobilenet,99,1,basic,basic,0.01,1.0,1.0,test_alpha,1.0,0.30762299828424355,0.19968610133447973,0.999581,0.9762702400893356,
mnistm,mobilenet,100,1,basic,basic,0.05,0.2,0.2,test_alpha,0.2,0.34067837914294063,0.20914838354946053,1.0,0.9563093243997767,
mnistm,mobilenet,101,1,basic,basic,0.05,0.3,0.3,test_alpha,0.3,0.26797449661439776,0.1768000400510552,1.0,0.9792015633724176,
mnistm,mobilenet,102,1,basic,basic,0.05,0.4,0.4,test_alpha,0.4,0.24891366029641193,0.1619239282445758,1.0,0.9842266890005583,
mnistm,mobilenet,103,1,basic,basic,0.05,0.5,0.5,test_alpha,0.5,0.24400027420039616,0.16190902499796578,1.0,0.986320491345617,
mnistm,mobilenet,104,1,basic,basic,0.05,0.6,0.6,test_alpha,0.6,0.23424879077813876,0.13972949602561124,1.0,0.9884142936906756,
mnistm,mobilenet,105,1,basic,basic,0.05,0.7,0.7,test_alpha,0.7,0.209994165961647,0.14579178705362406,1.0,0.9899497487437185,
mnistm,mobilenet,106,1,basic,basic,0.05,0.8,0.8,test_alpha,0.8,0.23861999718151072,0.16648721906597208,1.0,0.9905080960357342,
mnistm,mobilenet,107,1,basic,basic,0.05,0.9,0.9,test_alpha,0.9,0.23810538456120578,0.15751227336499152,1.0,0.990926856504746,
mnistm,mobilenet,108,1,basic,basic,0.05,1.0,1.0,test_alpha,1.0,0.2445609377200394,0.16478895505097246,1.0,0.9912060301507538,
mnistm,mobilenet,109,1,belt,belt,0.01,0.2,0.1,test_mask_rate,0.2,0.8860369318181818,0.5736933664256028,0.121161,0.17197096594081518,0.5
mnistm,mobilenet,110,1,belt,belt,0.01,0.2,0.15,test_mask_rate,0.2,0.9106322829244674,0.5262790739856326,0.075516,0.4320212171970966,0.5
mnistm,mobilenet,111,1,belt,belt,0.01,0.2,0.2,test_mask_rate,0.2,0.9289807696205611,0.6127220511260913,0.823283,0.8608319374651033,0.5
mnistm,mobilenet,112,1,belt,belt,0.01,0.2,0.25,test_mask_rate,0.2,0.9500670890872347,0.5989186621177487,0.780988,0.8288665549972083,0.5
mnistm,mobilenet,113,1,belt,belt,0.01,0.2,0.3,test_mask_rate,0.2,0.9552664692435577,0.5660861746384063,0.894612,0.8397543271915131,0.5
mnistm,mobilenet,114,1,belt,belt,0.01,0.2,0.35,test_mask_rate,0.2,0.7675755108861726,0.6211571388347221,0.994975,0.9135957565605807,0.5
mnistm,mobilenet,115,1,belt,belt,0.02,0.2,0.1,test_mask_rate,0.2,0.7585777564530485,0.47916669165772974,0.644333,0.6274427694025684,0.5
mnistm,mobilenet,116,1,belt,belt,0.02,0.2,0.15,test_mask_rate,0.2,0.846373956126772,0.4900145392940425,0.994975,0.8566443327749861,0.5
mnistm,mobilenet,117,1,belt,belt,0.02,0.2,0.2,test_mask_rate,0.2,0.7048171992481203,0.433848641255544,0.996231,0.9282523729759911,0.5
mnistm,mobilenet,118,1,belt,belt,0.02,0.2,0.25,test_mask_rate,0.2,0.7509800161337635,0.4558793231978817,0.893216,0.9517029592406476,0.5
mnistm,mobilenet,119,1,belt,belt,0.02,0.2,0.3,test_mask_rate,0.2,0.7522279064620832,0.5497372012769544,1.0,0.9461194863204914,0.5
mnistm,mobilenet,120,1,belt,belt,0.02,0.2,0.35,test_mask_rate,0.2,0.9092533553472518,0.5624271925309777,1.0,0.9828308207705193,0.5
mnistm,mobilenet,121,1,belt,belt,0.1,0.2,0.1,test_mask_rate,0.2,0.6461652702509983,0.39738223030088204,1.0,0.9787828029034059,0.5
mnistm,mobilenet,122,1,belt,belt,0.1,0.2,0.15,test_mask_rate,0.2,0.6317299305849936,0.37180320873614026,1.0,0.9878559463986599,0.5
mnistm,mobilenet,123,1,belt,belt,0.1,0.2,0.2,test_mask_rate,0.2,0.6684756355932203,0.40772478284458336,1.0,0.9882747068676717,0.5
mnistm,mobilenet,124,1,belt,belt,0.1,0.2,0.25,test_mask_rate,0.2,0.6831769939513292,0.3823851138326252,1.0,0.992322724734785,0.5
mnistm,mobilenet,125,1,belt,belt,0.1,0.2,0.3,test_mask_rate,0.2,0.6712457279144535,0.3964900847764693,1.0,0.9986041317699609,0.5
mnistm,mobilenet,126,1,belt,belt,0.1,0.2,0.35,test_mask_rate,0.2,0.7261165411223487,0.5651492631752233,1.0,0.9937185929648241,0.5
mnistm,mobilenet,127,1,blend,blend,0.005,0.01,0.01,test_alpha,0.01,0.9335178571428572,0.5580644840343345,0.000838,0.001954215522054718,
mnistm,mobilenet,128,1,blend,blend,0.005,0.05,0.05,test_alpha,0.05,0.7157451665390505,0.4647423302678809,0.417225,0.0911501954215522,
mnistm,mobilenet,129,1,blend,blend,0.005,0.1,0.1,test_alpha,0.1,0.7443641656982374,0.48087765487764655,0.99651,0.7206867671691792,
mnistm,mobilenet,130,1,blend,blend,0.005,0.15,0.15,test_alpha,0.15,0.5972675127510361,0.3076011776857459,0.998185,0.8757677275265215,
mnistm,mobilenet,131,1,blend,blend,0.005,0.2,0.2,test_alpha,0.2,0.594920198497854,0.34496722014142345,1.0,0.9106644332774986,
mnistm,mobilenet,132,1,blend,blend,0.005,0.25,0.25,test_alpha,0.25,0.9012062916540442,0.4812598022043181,0.999023,0.9215522054718035,
mnistm,mobilenet,133,1,blend,blend,0.005,0.3,0.3,test_alpha,0.3,0.6824458676622039,0.506120081197607,1.0,0.9487716359575656,
mnistm,mobilenet,134,1,blend,blend,0.01,0.01,0.01,test_alpha,0.01,0.93796875,0.5926681878429151,0.002373,0.0018146286990508096,
mnistm,mobilenet,135,1,blend,blend,0.01,0.05,0.05,test_alpha,0.05,0.7325254987466054,0.43586130716472427,0.997767,0.6679229480737019,
mnistm,mobilenet,136,1,blend,blend,0.01,0.1,0.1,test_alpha,0.1,0.6085300729214516,0.30962842073539243,1.0,0.911641541038526,
mnistm,mobilenet,137,1,blend,blend,0.01,0.15,0.15,test_alpha,0.15,0.817578129567378,0.3699295028564542,0.999721,0.9549134561697376,
mnistm,mobilenet,138,1,blend,blend,0.01,0.2,0.2,test_alpha,0.2,0.6842989112668895,0.3616239608094901,1.0,0.9606365159128978,
mnistm,mobilenet,139,1,blend,blend,0.01,0.25,0.25,test_alpha,0.25,0.5857060675443617,0.5526716873001165,1.0,0.9754327191513121,
mnistm,mobilenet,140,1,blend,blend,0.01,0.3,0.3,test_alpha,0.3,0.860554778472025,0.5799296596906012,1.0,0.9829704075935232,
mnistm,mobilenet,141,1,blend,blend,0.05,0.01,0.01,test_alpha,0.01,0.9112314033742331,0.5735999344730177,0.086823,0.022752652149637075,
mnistm,mobilenet,142,1,blend,blend,0.05,0.05,0.05,test_alpha,0.05,0.5072536515551433,0.26397992272959225,1.0,0.9783640424343942,
mnistm,mobilenet,143,1,blend,blend,0.05,0.1,0.1,test_alpha,0.1,0.5409097711267605,0.33095389641860273,1.0,0.9910664433277498,
mnistm,mobilenet,144,1,blend,blend,0.05,0.15,0.15,test_alpha,0.15,0.4689040570175438,0.2402651858091811,1.0,0.9945561139028476,
mnistm,mobilenet,145,1,blend,blend,0.05,0.2,0.2,test_alpha,0.2,0.849074856281548,0.5082751202715514,1.0,0.9955332216638749,
mnistm,mobilenet,146,1,blend,blend,0.05,0.25,0.25,test_alpha,0.25,0.5735530726256983,0.36460997332761114,1.0,0.9994416527079844,
mnistm,mobilenet,147,1,blend,blend,0.05,0.3,0.3,test_alpha,0.3,0.6461439546313139,0.42297670881972627,1.0,0.9976270240089335,
mnistm,mobilenet,148,1,upgd,upgd,0.005,4.0,,test_eps,4.0,0.9066078565830721,0.6065601639391298,0.005723,0.044528196538246786,
mnistm,mobilenet,149,1,upgd,upgd,0.005,6.0,,test_eps,6.0,0.8865405245746691,0.6053901876500042,0.024567,0.07384142936906755,
