dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,alpha,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,resnet18,42,1,WaNet,WaNet,0.05,1.2,,test_s,1.2,0.6892647784544309,0.3476609881867547,0.529375,0.9930487974419575,0.1
cifar10,resnet18,43,1,WaNet,WaNet,0.05,1.4,,test_s,1.4,0.5122230957648546,0.29264107900839054,0.630156,0.989712220214097,0.1
cifar10,resnet18,44,1,WaNet,WaNet,0.05,2.0,,test_s,2.0,0.6024509508185154,0.30796081616207616,0.41,0.9851244265257889,0.1
cifar10,resnet18,45,1,WaNet,WaNet,0.05,4.0,,test_s,4.0,0.8092471068042387,0.35883934514677507,0.795156,0.9970804949256221,0.1
cifar10,resnet18,46,1,adaptive_blend,adaptive_blend,0.005,0.01,0.01,test_alpha,0.01,0.9057329009433962,0.5228201911500319,0.037969,0.007368274711525094,0.005
cifar10,resnet18,47,1,adaptive_blend,adaptive_blend,0.005,0.05,0.05,test_alpha,0.05,0.9184479166666667,0.529721034038714,0.03,0.00834144306965105,0.005
cifar10,resnet18,48,1,adaptive_blend,adaptive_blend,0.005,0.1,0.1,test_alpha,0.1,0.7620153637123745,0.4643683312433784,0.197344,0.415681912970944,0.005
cifar10,resnet18,49,1,adaptive_blend,adaptive_blend,0.005,0.15,0.15,test_alpha,0.15,0.8951042435424355,0.5079583771862904,0.422812,0.7913248992075629,0.005
cifar10,resnet18,50,1,adaptive_blend,adaptive_blend,0.005,0.2,0.2,test_alpha,0.2,0.8140778344986493,0.5151838344685151,0.62625,0.8750173780063951,0.005
cifar10,resnet18,51,1,adaptive_blend,adaptive_blend,0.005,0.25,0.25,test_alpha,0.25,0.8266607766836086,0.5026388203856478,0.774062,0.8752954261087168,0.005
cifar10,resnet18,52,1,adaptive_blend,adaptive_blend,0.005,0.3,0.3,test_alpha,0.3,0.6953648117960878,0.2695287282724079,0.909219,0.9382733212845822,0.005
cifar10,resnet18,53,1,adaptive_blend,adaptive_blend,0.01,0.01,0.01,test_alpha,0.01,0.9464189814814815,0.5345066143017188,0.044687,0.007507298762685945,0.01
cifar10,resnet18,54,1,adaptive_blend,adaptive_blend,0.01,0.05,0.05,test_alpha,0.05,0.9138098739495798,0.5231277999256421,0.045,0.016543862088141247,0.01
cifar10,resnet18,55,1,adaptive_blend,adaptive_blend,0.01,0.1,0.1,test_alpha,0.1,0.8082931544388974,0.4735314113176139,0.505313,0.6404838036980398,0.01
cifar10,resnet18,56,1,adaptive_blend,adaptive_blend,0.01,0.15,0.15,test_alpha,0.15,0.8258666029462589,0.4949825194269135,0.634219,0.8045321840678438,0.01
cifar10,resnet18,57,1,adaptive_blend,adaptive_blend,0.01,0.2,0.2,test_alpha,0.2,0.672101506204964,0.27828900183940175,0.808438,0.8682051994995135,0.01
cifar10,resnet18,58,1,adaptive_blend,adaptive_blend,0.01,0.25,0.25,test_alpha,0.25,0.8069754550735864,0.4026804010200373,0.84,0.8974002502432921,0.01
cifar10,resnet18,59,1,adaptive_blend,adaptive_blend,0.01,0.3,0.3,test_alpha,0.3,0.6042859916367981,0.31538900118501767,0.874219,0.9309050465730572,0.01
cifar10,resnet18,60,1,adaptive_blend,adaptive_blend,0.05,0.01,0.01,test_alpha,0.01,0.8649433379120879,0.4646271966843052,0.105938,0.025163353260114,0.05
cifar10,resnet18,61,1,adaptive_blend,adaptive_blend,0.05,0.05,0.05,test_alpha,0.05,0.7569355777522276,0.42740785356977384,0.399375,0.48380369803976087,0.05
cifar10,resnet18,62,1,adaptive_blend,adaptive_blend,0.05,0.1,0.1,test_alpha,0.1,0.7145375257909217,0.3406380878010906,0.482187,0.6065619352147922,0.05
cifar10,resnet18,63,1,adaptive_blend,adaptive_blend,0.05,0.15,0.15,test_alpha,0.15,0.717659956605593,0.29713140398627824,0.759844,0.7209787293201724,0.05
cifar10,resnet18,64,1,adaptive_blend,adaptive_blend,0.05,0.2,0.2,test_alpha,0.2,0.5655382593457944,0.23363260105128092,0.75375,0.7436396496593911,0.05
cifar10,resnet18,65,1,adaptive_blend,adaptive_blend,0.05,0.25,0.25,test_alpha,0.25,0.5407656051172515,0.2753975981734822,0.73375,0.7649103294870012,0.05
cifar10,resnet18,66,1,adaptive_blend,adaptive_blend,0.05,0.3,0.3,test_alpha,0.3,0.5946803385416667,0.2955002910152824,0.8225,0.8541637703322675,0.05
cifar10,resnet18,67,1,adaptive_patch,adaptive_patch,0.005,0.0,0.0,test_alpha,0.0,0.6265625677874187,0.3425086891613296,0.705781,0.32045043792576117,0.01
cifar10,resnet18,68,1,adaptive_patch,adaptive_patch,0.005,0.1,0.1,test_alpha,0.1,0.536189493887895,0.33362725860437425,0.759062,0.6995690254414013,0.01
cifar10,resnet18,69,1,adaptive_patch,adaptive_patch,0.005,0.2,0.2,test_alpha,0.2,0.484531954887218,0.27221252218517633,0.645156,0.4990963436674545,0.01
cifar10,resnet18,70,1,adaptive_patch,adaptive_patch,0.005,0.3,0.3,test_alpha,0.3,0.5300541472416472,0.3519312596466465,0.541719,0.3575698595857083,0.01
cifar10,resnet18,71,1,adaptive_patch,adaptive_patch,0.005,0.4,0.4,test_alpha,0.4,0.6409222840314136,0.3777938410712435,0.425312,0.26553593771722506,0.01
cifar10,resnet18,72,1,adaptive_patch,adaptive_patch,0.01,0.0,0.0,test_alpha,0.0,0.6274892277560157,0.3299546481732447,0.176406,0.2482969553732796,0.02
cifar10,resnet18,73,1,adaptive_patch,adaptive_patch,0.01,0.1,0.1,test_alpha,0.1,0.6600831172199171,0.36891547817426207,0.110156,0.2680383706381204,0.02
cifar10,resnet18,74,1,adaptive_patch,adaptive_patch,0.01,0.2,0.2,test_alpha,0.2,0.6304075919369575,0.37798423227291866,0.119375,0.3041846239399416,0.02
cifar10,resnet18,75,1,adaptive_patch,adaptive_patch,0.01,0.3,0.3,test_alpha,0.3,0.6655163214768123,0.41421187293792494,0.176719,0.30849436952592796,0.02
cifar10,resnet18,76,1,adaptive_patch,adaptive_patch,0.01,0.4,0.4,test_alpha,0.4,0.6548417008196722,0.42094108759176374,0.161875,0.27123592381482,0.02
cifar10,resnet18,77,1,adaptive_patch,adaptive_patch,0.05,0.0,0.0,test_alpha,0.0,0.5285569891418106,0.31457182281520835,0.368281,0.26567496176838595,0.1
cifar10,resnet18,78,1,adaptive_patch,adaptive_patch,0.05,0.1,0.1,test_alpha,0.1,0.592941722972973,0.29012706608078576,0.360938,0.26734325038231616,0.1
cifar10,resnet18,79,1,adaptive_patch,adaptive_patch,0.05,0.2,0.2,test_alpha,0.2,0.6241214375901876,0.323033633400021,0.235625,0.19282635896010009,0.1
cifar10,resnet18,80,1,adaptive_patch,adaptive_patch,0.05,0.3,0.3,test_alpha,0.3,0.6079148971103328,0.3053991631018047,0.295156,0.23814819963853748,0.1
