dataset,arch,n_points,transfer_mean,transfer_median,stealth_auc_mean,stealth_tpr_mean,stealth_mean_mean,asr_mean,tradeoff_hmean_mean
cifar10,mobilenet,171,0.5722605847953216,0.640938,0.3264721869000293,0.555356984525794,0.4409145857129117,0.6919275806644374,0.34619686104559727
cifar10,resnet18,171,0.6067379298245613,0.6525,0.303299782533488,0.5832832514910521,0.44329151701227,0.7632322847993054,0.4028161951463
cifar10,vgg,171,0.5992288362573099,0.673125,0.34676870633612783,0.5611788972998941,0.4539738018180109,0.7039373074699818,0.4011488064375935
mnistm,mobilenet,171,0.5615463625730994,0.701843,0.49012271132714114,0.7389383304834681,0.6145305209053047,0.4971845909208159,0.42596430863601265
mnistm,resnet18,171,0.6704298011695906,0.960218,0.4208264612370221,0.6330186417414533,0.5269225514892376,0.5986389060311302,0.43229086342829537
mnistm,vgg,171,0.577462514619883,0.748185,0.454207240740654,0.6389533771880668,0.5465803089643603,0.5063214055984928,0.40165735125083535
tiny_imagenet,mobilenet,155,0.7447527290322581,0.91005,0.29798403925462885,0.6024537335572858,0.45021888640595736,0.6912925103921045,0.42895913339990593
tiny_imagenet,resnet18,155,0.8081633483870968,0.922111,0.28687389808074565,0.6162845769525064,0.45157923751662604,0.7300807869638849,0.48591321703595053
tiny_imagenet,vgg,155,0.6836310580645161,0.864824,0.3250714514605416,0.641717139800699,0.48339429563062025,0.6184910583335359,0.4305325152072789
