pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|mobilenet|sig|0.01|6.0|28.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,28.0,,,,SIG_0.010_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.6013039327219266,0.840763064796425,-0.23945913207449843,0.3625757451961247,0.5380846141043459,-0.17550886890822126,0.913594,0.297656,0.6159380000000001,0.9929097733907966,0.5599888780759071,0.4329208953148894,14.015724182128906,2.9164199829101562,11.09930419921875,,,,,,
cifar10|mobilenet|sig|0.01|6.0|36.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,36.0,,,,SIG_0.010_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.689451335342773,0.8075967261904762,-0.11814539084770315,0.41007317101820673,0.47729117315548997,-0.06721800213728324,0.961406,0.333594,0.627812,0.991658556930349,0.7298762685944669,0.26178228833588213,3.4022104740142822,3.280518054962158,0.12169241905212402,,,,,,
cifar10|mobilenet|sig|0.01|6.0|44.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,44.0,,,,SIG_0.010_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.7030620851963113,0.688384872417983,0.014677212778328341,0.3687084638569784,0.4191449993819891,-0.050436535525010706,0.976406,0.627344,0.349062,0.9949951341582094,0.9153343528430419,0.07966078131516752,5.038644313812256,1.5034265518188477,3.535217761993408,,,,,,
cifar10|mobilenet|sig|0.01|6.0|56.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,56.0,,,,SIG_0.010_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.528937030075188,0.5401331227436823,-0.011196092668494306,0.3594086919039057,0.2991886411589535,0.06022005074495218,0.995313,0.724531,0.27078199999999997,0.9984707354372306,0.962741554288892,0.03572918114833867,8.137221336364746,1.2609375715255737,6.876283764839172,,,,,,
cifar10|mobilenet|sig|0.05|6.0|4.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,4.0,,,,SIG_0.050_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.6186502016129032,0.8721363736749117,-0.2534861720620085,0.3792513069064487,0.46433807162581275,-0.08508676471936405,0.533906,0.133437,0.40046899999999996,0.6809398025858473,0.07868761295704157,0.6022521896288058,2.227688789367676,4.880845069885254,-2.653156280517578,,,,,,
cifar10|mobilenet|sig|0.05|6.0|12.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,12.0,,,,SIG_0.050_delta=12_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.48504014981797816,0.8463186242948246,-0.36127847447684647,0.2858507389935876,0.5095635018126541,-0.2237127628190665,0.982187,0.393437,0.5887500000000001,0.9929097733907966,0.5668010565827888,0.42610871680800777,1.6366679668426514,1.3573206663131714,0.27934730052948,,,,,,
cifar10|mobilenet|sig|0.05|6.0|20.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,20.0,,,,SIG_0.050_delta=20_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.5654658419112533,0.8007112353372434,-0.23524539342599016,0.3112204812255527,0.49994498268197796,-0.18872450145642528,0.996875,0.529375,0.4674999999999999,0.9994439037953566,0.7585152231336021,0.24092868066175455,5.186546802520752,5.324443817138672,-0.13789701461791992,,,,,,
cifar10|mobilenet|sig|0.05|6.0|28.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,28.0,,,,SIG_0.050_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.4619643701334817,0.7699065738341969,-0.30794220370071523,0.25964229820708984,0.4415154614076573,-0.18187316320056746,0.999531,0.703125,0.29640599999999995,0.9998609759488392,0.8586125399694147,0.1412484359794245,2.74507737159729,1.7068631649017334,1.0382142066955566,,,,,,
cifar10|mobilenet|sig|0.05|6.0|36.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,36.0,,,,SIG_0.050_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.757257692976356,0.8334555076911699,-0.0761978147148139,0.44532471281138164,0.5395143712008659,-0.09418965838948423,0.998594,0.731563,0.267031,0.9995829278465175,0.9399416098985125,0.05964131794800498,1.7007746696472168,1.2726303339004517,0.42814433574676514,,,,,,
cifar10|mobilenet|sig|0.05|6.0|44.0|||#1,cifar10,mobilenet,sig,0.05,0,all-to-one,6.0,44.0,,,,SIG_0.050_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.050_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.6263748435979424,0.8010273794603362,-0.17465253586239382,0.31932356140933016,0.4665941858437631,-0.14727062443443295,1.0,0.625469,0.37453099999999995,1.0,0.9428611149728903,0.05713888502710973,2.3254826068878174,1.6915830373764038,0.6338995695114136,,,,,,
